#name HR redshift maxmag magerr stretch stretch_err absmag
09alu 0.271082266881 0.071 18.8683121399 0.0247598669826 1.27800081662 0.0164174721811 -18.6600738659
09dxo 0.0630583641571 0.052 17.9547830193 0.0319860709141 1.12523951224 0.0159247081776 -18.8680977687
10aaju -0.108909406458 0.078 18.7030713679 0.00722989220649 1.03381547078 0.0117048756876 -19.0400655393
10aajv 1.35586248617 0.0638 19.7099212175 0.0100828085515 0.736238012093 0.0150511387633 -17.5752936466
10aayx 0.389479269819 0.11 19.9949503999 0.0126429394404 0.786624703368 0.0237327289798 -18.541676863
10abjm 0.0191947407924 0.04975 17.8113533084 0.00614883683278 1.05324348085 0.00653839644369 -18.911961392
10abkt 0.770498993351 0.026 17.1157495243 0.0316340415448 1.21440372977 0.019116620995 -18.1606571395
10abws 0.230004699483 0.125 20.1343735606 0.0212765397419 0.989980557069 0.0291666423851 -18.7011514333
10cko 0.0505081601832 0.07 18.6154178775 0.008329712794 0.950738955575 0.0117160513379 -18.8806479726
10cmj -0.265928860498 0.111 19.3606284858 0.0137316377133 0.931040236738 0.0259735285583 -19.1970849933
10czc -0.0288767731608 0.1084 19.54247754 0.00926572294804 0.92571982338 0.00947055986438 -18.960032906
10duy -0.0390719190276 0.079 18.8020726299 0.0231758006564 1.02727225703 0.0115083079206 -18.9702280518
10egs 0.362656119416 0.1276 20.3153768887 0.0387145093267 0.853161031466 0.0509526995947 -18.5685000134
10feg -0.138270130436 0.115 19.5708803797 0.0144366579499 0.949668879901 0.0111446177905 -19.0694262633
10fxl 0.237226537917 0.02957 16.8676341771 0.00961375089543 1.05042823855 0.00666796183074 -18.6939295949
10fxp 0.214007577711 0.104 19.689030916 0.0212709443755 1.18053975849 0.0218336724481 -18.7171485551
10fym 1.01983958535 0.074 19.7114791199 0.0186715986381 1.01205816111 0.0158815546146 -17.9113165475
10gjx -0.228787820327 0.076 18.5237787974 0.0087646809984 1.05847141077 0.00544980302286 -19.1599439531
10glo -0.113732144461 0.075 18.6085650476 0.00182022284718 0.813754847606 0.00298001869481 -19.0448882773
10goo 0.569735316346 0.09 19.7103311272 0.03114738861 0.750702014555 0.0463330160485 -18.3614208165
10gop 0.102961975308 0.097 19.4164913311 0.0120235112621 0.932706220133 0.0177968932079 -18.8281941575
10goq 0.843966565099 0.088 19.9328051036 0.0145471039841 0.814086788963 0.0273126215562 -18.0871895677
10gsp -0.0234656160921 0.11 19.582005514 0.0168015235214 1.04750944546 0.0269594923581 -18.9546217489
10hcu 0.471549347569 0.0925 19.6753270851 0.0062731392201 1.08969669559 0.00700204302288 -18.4596067852
10hdm -0.0909974472436 0.165 20.4709407679 0.00974948245653 0.860610936867 0.0163269132198 -19.0221535801
10hdn 0.0384310354382 0.0696 18.5902886961 0.00928832678483 1.03206425622 0.00582279157321 -18.8927250974
10hei 0.213395887829 0.101 19.6205063274 0.0103299996827 0.861233452457 0.0135236514857 -18.717760245
10hld 1.44284798687 0.0378 18.619639374 0.0239908041615 0.889104933568 0.0228406946893 -17.488308146
10hrw 0.298542530572 0.0487 18.0427363218 0.0181294466869 1.03948668191 0.0136072902523 -18.6326136022
10iah -0.348282721396 0.098 18.9889796594 0.0109105031249 1.03491258361 0.00900293692433 -19.2794388542
10ifj -0.1417879866 0.0761 18.6137846132 0.0125664102175 0.879625271112 0.0159695155109 -19.0729441194
10kdg 0.813199022143 0.062 19.1023493158 0.0177366626435 1.05425058096 0.0132323467429 -18.1179571107
10kee 0.358296686281 0.09 19.4988924972 0.00638149739747 0.982022031208 0.0129155059753 -18.5728594465
10kiw 0.980820881519 0.069 19.5129650618 0.0223047651004 0.864984872305 0.0224760529065 -17.9503352513
10lxp -0.399279076023 0.088 18.6895594624 0.00227601312092 1.02349995985 0.00269060024275 -19.3304352088
10mbk -0.185443100864 0.065 18.2109173787 0.0337328543567 1.07063654579 0.0607484647907 -19.1165992337
10mla 0.158958907574 0.07034 18.7349068171 0.0184438945794 1.07307166087 0.0248975271568 -18.7721972252
10mtd 0.550655175072 0.079 19.391799724 0.0411623501494 1.04414449676 0.0570217409945 -18.3805009577
10nvh 0.291501019324 0.068 18.7904213362 0.0373217824192 0.824587858801 0.0420089214567 -18.6396551135
10nyt -0.0284775685587 0.109 19.5557258564 0.0173487570488 0.920598973252 0.0252723269722 -18.9596337014
10oum 0.343218894029 0.111 19.9697762403 0.0407550562035 1.02736047899 0.0360222294231 -18.5879372388
10pvi 0.298731163855 0.0803 19.1772665124 0.0245326451064 0.980551610158 0.0121562992757 -18.632424969
10qkf 0.14372700422 0.081 19.0421574329 0.0161710931029 0.908075992953 0.0171260975461 -18.7874291286
10qkv 0.705759018145 0.061 18.9580616713 0.00560745326034 1.00231087391 0.00522847838888 -18.2253971147
10qly 0.274739973186 0.0849 19.2811019107 0.0258064204063 0.871954470464 0.0264736396441 -18.6564161596
10qnn 0.994248057537 0.08 19.8642062748 0.0297137240164 0.747498721816 0.0573949117798 -17.9369080753
10qqt -0.319692179119 0.11 19.285778951 0.0319177562879 0.926544190591 0.0443343791629 -19.2508483119
10qqw 0.293654608987 0.108 19.8564055278 0.00903597027123 0.94492167674 0.00916117234758 -18.6375015238
10qrj -0.0853264655243 0.14 20.0860012859 0.0136720472624 0.947891990289 0.016882595994 -19.0164825983
10qsc -0.178100783074 0.088 18.9107377554 0.0110826664896 0.824140059683 0.0229305296478 -19.1092569159
10qwm -0.331195252589 0.101 19.075915187 0.0104544066881 0.915470113015 0.014812962223 -19.2623513854
