#name,t_bump,t_bump_err,prob_bump,prob_shoulder,n_points
10abws,17.60,2.05,0.26,0.74,8
14yy,17.80,3.56,0.33,0.67,27
13bmn,15.40,3.72,0.02,0.98,20
10oum,25.80,3.52,0.66,0.34,12
12ecr,nan,nan,0.00,0.00,0
16gmw,14.30,6.93,0.00,0.84,5
13dbp,25.20,4.08,0.00,1.00,47
10wov,nan,0.70,0.00,0.07,2
12ibh,25.30,0.85,1.00,0.00,40
13dnh,23.20,1.78,0.26,0.74,41
16gmx,31.60,2.48,0.01,0.78,3
13cxn,17.40,3.91,0.07,0.93,39
11rke,29.80,3.76,0.08,0.83,17
12sz,27.20,3.06,0.21,0.79,8
16anm,nan,0.41,0.00,0.04,1
13anh,15.20,6.45,0.00,1.00,29
14aqs,16.90,0.82,0.06,0.94,8
13ag,27.10,1.10,0.00,1.00,23
10cko,23.10,0.95,0.31,0.69,13
10fxl,25.50,0.89,0.22,0.78,10
13bjb,29.60,5.78,0.77,0.23,21
10kiw,14.40,5.52,0.33,0.67,16
13bdb,nan,1.56,0.01,0.74,16
10kee,18.50,5.78,0.47,0.53,20
10kdg,19.70,1.78,0.18,0.82,30
10qkv,28.80,1.13,0.97,0.03,14
12lxp,nan,nan,0.00,0.00,0
10abjm,26.10,2.02,0.50,0.50,3
13cyy,27.20,4.28,0.93,0.07,40
10qly,27.70,2.52,0.02,0.98,11
12grk,nan,1.83,0.00,0.58,3
11kaw,26.80,0.48,1.00,0.00,19
13adv,21.50,3.38,0.20,0.80,30
16hhh,31.30,1.87,0.09,0.79,3
10ujl,18.70,1.17,0.10,0.89,8
12gaz,16.30,0.52,0.00,0.87,9
12luk,nan,nan,0.00,0.00,0
11ao,nan,0.97,0.00,0.15,7
10rbp,28.30,4.49,0.14,0.86,10
11hfu,24.40,3.18,0.00,0.92,5
10feg,32.30,3.87,0.00,1.00,24
10goo,24.50,1.50,0.23,0.77,12
13cor,28.70,7.20,0.95,0.05,29
13dnr,nan,nan,0.00,0.00,0
13bun,24.80,1.85,0.15,0.85,11
12dhl,nan,1.33,0.00,0.12,2
14anq,22.10,1.80,0.02,0.97,10
12lic,nan,0.49,0.00,0.39,1
11rrq,18.60,4.07,0.25,0.75,19
13caz,20.70,4.35,0.02,0.98,20
13cow,32.60,5.26,0.57,0.43,33
13daw,38.10,7.73,0.69,0.31,42
10one,18.30,7.27,1.00,0.00,26
16sw,16.40,9.64,0.32,0.68,11
13dni,17.00,6.60,0.26,0.74,53
11ilj,nan,7.97,0.03,0.79,6
12klx,20.30,2.48,0.00,0.82,4
10qyx,20.00,6.15,0.59,0.41,28
13adm,22.40,5.07,0.97,0.03,41
11qvc,36.30,6.65,0.30,0.70,13
16ig,31.40,3.32,0.01,0.99,14
16hdv,nan,nan,0.00,0.00,1
10aaju,21.40,3.47,0.03,0.97,15
10gop,nan,0.00,0.00,0.01,4
16for,16.40,4.30,0.01,0.88,4
14bpz,nan,nan,0.00,0.00,0
16gro,19.80,0.57,0.00,1.00,3
10xup,19.60,1.13,0.00,1.00,21
12csi,20.40,1.19,0.69,0.31,26
10lxp,26.30,0.45,1.00,0.00,38
13asv,nan,nan,0.00,0.00,0
10wyq,19.60,2.75,0.50,0.50,26
10gjx,26.10,1.07,0.76,0.24,32
12dxm,14.40,0.39,0.10,0.90,17
12gnw,17.20,0.39,0.02,0.82,2
12mjh,13.10,0.00,0.00,0.02,2
12lgq,19.60,0.34,0.96,0.04,6
